word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
anticipate,We anticipate an increase in sales.,an-ˈti-sə-ˌpāt,an-tic-i-pate,동명사 목적어 가능. 미래 예상 의미.,anticipate'는 (어떤 일이 일어날 것을) 미리 생각하고 대비하거나 기대한다는 의미의 동사입니다.\r\n We anticipate a significant increase in online sales this quarter.,We ____ that sales will increase soon.
apologize,He apologized to his boss for the mistake.,ə-ˈpä-lə-ˌjīz,apol-o-gize,"자동사. to (사람), for (이유) 함께 자주.",apologize'는 (자신의 실수나 잘못에 대해) 공식적으로 유감을 표현하고 '사과한다'는 의미의 동사입니다.\r\n We apologize for the delay in shipping your order.,He will ____ for being late.
appeal,The commercial appeals to young people.,ə-ˈpēl,ap-peal,"자동사. to (대상), for (요청) 구분.",appeal'은 (사람의 마음을 끄는) '매력'이나 '흥미'를 의미하는 명사입니다. (법률 용어로 '항소'라는 뜻도 있음)\r\n The product's new design has a wide appeal to younger customers.,The movie will ____ to a young audience.
appreciate,I really appreciate your help.,ə-ˈprē-shē-ˌāt,ap-pre-ci-ate,타동사. 사람보다 행동/결과 목적어로.,appreciate'는 (누군가의 도움이나 노력에 대해) '감사하다'는 마음을 표현할 때 쓰는 동사입니다.\r\n We appreciate your feedback on our new service.,I really ____ your help on this matter.
apply,She applied for a job. / Apply to the university.,ə-ˈplī,ap-ply,자동사(for/to) / 타동사(적용) 구분.,"apply'는 (일자리, 허가 등에) 공식적으로 '지원'하거나 '신청'한다는 의미, 혹은 (규칙/이론을) '적용하다'는 의미의 동사입니다.\r\n You must apply for the position before the deadline.",You can ____ for the job online.
appoint,They appointed him (as) manager.,ə-ˈpȯint,ap-point,목적보어에 직책·역할. as 생략 가능.,appoint'는 (어떤 사람을) 특정 직책이나 역할에 공식적으로 '임명한다'는 의미의 동사입니다.\r\n The board decided to appoint Ms. Jane as the new director.,They will ____ a new leader next week.
approve,The board approved the plan. / He doesn’t approve of violence.,ə-ˈprüv,ap-prove,타동사(승인) / 자동사(of) 구분 중요.,"approve'는 (계획, 요청, 예산 등을) 공식적으로 받아들이고 '승인한다'는 의미의 동사입니다.\r\n The committee must approve the budget before we can proceed.",The board will ____ the final design.
arrange,She arranged a meeting. / He arranged for a taxi.,ə-ˈrānj,ar-range,"타동사(행사), 자동사(for) 구분.","arrange'는 (미팅, 교통편, 일정 등을) 미리 계획하고 '준비'하거나 '마련한다'는 의미의 동사입니다.\r\n I will arrange a taxi to take you to the airport.",Let’s ____ a meeting for next Monday.
assemble,They assembled the parts. / People assembled in the hall.,ə-ˈsem-bəl,as-sem-ble,타/자동사 모두 가능.,assemble'는 (사람들이) 특정 목적을 위해 한곳에 '모이다' 혹은 (부품을) '조립하다'는 의미의 동사입니다.\r\n All employees must assemble in the main hall for the presentation.,Workers will ____ in the main hall.
assent,The committee assented to the proposal.,ə-ˈsent,as-sent,자동사 + 전치사 to. 격식체.,assent'는 (신중한 고려 후의) 공식적인 '동의'나 '승인'을 의미하는 명사입니다.\r\n The board of directors gave their assent to the merger proposal.,All members must ____ before starting.
assess,They assessed the damage.,ə-ˈses,as-sess,타동사. 목적어는 수량·상황 등.,"assess'는 (어떤 것의 가치, 품질, 중요성, 영향 등을) 판단하거나 '평가한다'는 의미의 동사입니다.\r\n We need to assess the impact of the new marketing campaign.",We need to ____ the risks carefully.
assign,The teacher assigned homework to students.,ə-ˈsīn,as-sign,목적어 + to + 대상. 수동형 빈출.,assign'은 (특정 업무나 책임)을 누군가에게 맡기거나 '배정한다'는 의미의 동사입니다.\r\n The manager will assign specific tasks to each team member.,The teacher will ____ each student a task.
assist,He assisted her with the report.,ə-ˈsist,as-sist,자동사(with/in) / 타동사 구분 가능.,"assist'는 (누군가가 일을 더 쉽게 하도록) '돕는다'는 의미의 동사로, 'help'보다 격식 있는 표현입니다.\r\n Please let me know if I can assist you with your luggage.",I’ll ____ you with the report.
assume,She assumed responsibility. / I assume that you agree.,ə-ˈsüm,as-sume,의미 따라 타동사(맡다) or 명사절 목적어.,"assume'는 (새로운 책임이나 역할, 직책을) '떠맡는다'는 의미의 동사입니다. ('~라고 추정하다'는 뜻도 있음)\r\n Ms. Lee will assume the role of team leader starting next month.",Don’t ____ that he will agree with you.
attach,Please attach the file to the email.,ə-ˈtach,at-tach,to + 대상 형태 고정. 수동형 빈출.,attach'는 (이메일에 파일을) '첨부하다' 혹은 (어떤 것을 다른 것에) '붙인다'는 의미의 동사입니다.\r\n Please find the report attached to this email.,Please ____ the file to the email.
attain,She attained her goal.,ə-ˈtān,at-tain,타동사. achieve와 유사.,attain'는 (오랜 노력 끝에 높은 수준의 목표나 지위 등을) '성취'하거나 '이룬다'는 의미의 동사입니다.\r\n He worked hard to attain the position of Senior Manager.,She managed to ____ her dream score.
attend,He attended the meeting. / Please attend to the client.,ə-ˈtend,at-tend,타동사(참석) / 자동사(to) 구분.,"attend'는 (회의, 수업, 행사 등에) '참석'하거나 '출석한다'는 의미의 동사입니다.\r\n All department heads are required to attend the quarterly meeting.",Few people ____ the conference every year.
attract,The movie attracted many viewers.,ə-ˈtrakt,at-tract,타동사. 감정 주체를 목적어로.,attract'는 (사람들의 관심이나 흥미를) '끌어당기다' 혹은 (자석 등이) '끌어당기다'는 의미의 동사입니다.\r\n The company is trying to attract new customers with special promotions.,Good prices can ____ more customers.
attribute,He attributed the success to luck.,ˈa-trə-ˌbyüt,at-tri-bute,to + 원인 구조 고정.,"attribute'는 (어떤 사람이나 사물이 가진) 고유한 '특성', '자질', '속성'을 의미하는 명사입니다.\r\n Reliability is the most important attribute of our new product.",We often ____ success to hard work.
avoid,He avoided making the same mistake.,ə-ˈvȯid,avoid,타동사. 동명사 목적어 자주 사용.,avoid'는 (불쾌하거나 원치 않는 일을) '방지'하거나 '피한다'는 의미의 동사입니다.\r\n To avoid extra charges please pay your bill on time.,Try to ____ eating too much sugar.
award,They awarded him a prize.,ə-ˈwȯrd,award,4형식. 사람+사물 순서. 수동형도 자주.,award'는 (심사 끝에 상이나 계약 등을) 공식적으로 '수여한다'는 의미의 동사입니다.\r\n The contract was awarded to the firm with the best proposal.,The company will ____ the best employee.
